"building","day","floor","level","mac","name","room","time"
"block-9","Friday","first","-46","f0:3e:90:4c:29:d8","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-46","f0:3e:90:0c:29:d8","IIITV1","9103","13:15:27"
"block-9","Friday","first","-50","f0:3e:90:8c:29:d8","IIITV2","9103","13:15:27"
"block-9","Friday","first","-55","24:c9:a1:09:a1:58","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-52","24:c9:a1:49:a1:58","IIITV2","9103","13:15:27"
"block-9","Friday","first","-83","2c:c5:d3:63:c2:38","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-84","2c:c5:d3:23:c2:38","IIITV1","9103","13:15:27"
"block-9","Friday","first","-72","24:c9:a1:49:9f:08","IIITV2","9103","13:15:27"
"block-9","Friday","first","-73","24:c9:a1:09:9f:08","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-70","f0:3e:90:0c:24:78","IIITV1","9103","13:15:27"
"block-9","Friday","first","-71","f0:3e:90:8c:24:78","IIITV2","9103","13:15:27"
"block-9","Friday","first","-72","f0:3e:90:4c:24:78","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-52","24:c9:a1:49:9a:c8","IIITV2","9103","13:15:27"
"block-9","Friday","first","-61","58:b6:33:66:56:c8","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-60","58:b6:33:26:56:c8","IIITV1","9103","13:15:27"
"block-9","Friday","first","-66","24:c9:a1:47:29:58","IIITV2","9103","13:15:27"
"block-9","Friday","first","-65","24:c9:a1:07:29:58","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-76","24:c9:a1:47:2f:38","IIITV2","9103","13:15:27"
"block-9","Friday","first","-76","24:c9:a1:07:2f:38","IIITV-Staff","9103","13:15:27"
"block-9","Friday","first","-41","f0:3e:90:4c:29:d8","IIITV-Staff","9105","13:16:09"
"block-9","Friday","first","-39","f0:3e:90:0c:29:d8","IIITV1","9105","13:16:09"
"block-9","Friday","first","-40","f0:3e:90:8c:29:d8","IIITV2","9105","13:16:09"
"block-9","Friday","first","-34","24:c9:a1:09:a1:58","IIITV-Staff","9105","13:16:09"
"block-9","Friday","first","-36","24:c9:a1:49:a1:58","IIITV2","9105","13:16:09"
"block-9","Friday","first","-70","2c:c5:d3:63:c2:38","IIITV-Staff","9105","13:15:56"
"block-9","Friday","first","-70","2c:c5:d3:23:c2:38","IIITV1","9105","13:15:56"
"block-9","Friday","first","-57","24:c9:a1:49:9f:08","IIITV2","9105","13:16:09"
"block-9","Friday","first","-60","24:c9:a1:09:9f:08","IIITV-Staff","9105","13:15:56"
"block-9","Friday","first","-74","f0:3e:90:0c:24:78","IIITV1","9105","13:16:09"
"block-9","Friday","first","-74","f0:3e:90:8c:24:78","IIITV2","9105","13:16:09"
"block-9","Friday","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9105","13:16:09"
"block-9","Friday","first","-55","24:c9:a1:49:9a:c8","IIITV2","9105","13:16:09"
"block-9","Friday","first","-61","58:b6:33:66:56:c8","IIITV-Staff","9105","13:15:56"
"block-9","Friday","first","-60","58:b6:33:26:56:c8","IIITV1","9105","13:15:56"
"block-9","Friday","first","-66","24:c9:a1:47:29:58","IIITV2","9105","13:15:56"
"block-9","Friday","first","-65","24:c9:a1:07:29:58","IIITV-Staff","9105","13:15:56"
"block-9","Friday","first","-50","24:c9:a1:47:2f:38","IIITV2","9105","13:16:09"
"block-9","Friday","first","-50","24:c9:a1:07:2f:38","IIITV-Staff","9105","13:16:09"
"block-9","Friday","first","-46","6c:aa:b3:08:ad:b8","IIITV-Staff","9105","13:16:09"
"block-9","Friday","first","-47","6c:aa:b3:48:ad:b8","IIITV2","9105","13:16:09"
"block-9","Friday","first","-74","58:b6:33:66:51:48","IIITV-Staff","9105","13:15:56"
"block-9","Friday","first","-74","58:b6:33:26:51:48","IIITV1","9105","13:15:56"
"block-9","Friday","first","-41","f0:3e:90:4c:29:d8","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-39","f0:3e:90:0c:29:d8","IIITV1","9106","13:16:18"
"block-9","Friday","first","-40","f0:3e:90:8c:29:d8","IIITV2","9106","13:16:18"
"block-9","Friday","first","-46","24:c9:a1:09:a1:58","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-47","24:c9:a1:49:a1:58","IIITV2","9106","13:16:18"
"block-9","Friday","first","-69","24:c9:a1:49:9f:08","IIITV2","9106","13:16:18"
"block-9","Friday","first","-78","24:c9:a1:09:9f:08","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-76","f0:3e:90:0c:24:78","IIITV1","9106","13:16:18"
"block-9","Friday","first","-74","f0:3e:90:8c:24:78","IIITV2","9106","13:16:18"
"block-9","Friday","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-55","24:c9:a1:49:9a:c8","IIITV2","9106","13:16:18"
"block-9","Friday","first","-63","24:c9:a1:47:2f:38","IIITV2","9106","13:16:18"
"block-9","Friday","first","-64","24:c9:a1:07:2f:38","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-36","6c:aa:b3:08:ad:b8","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-37","6c:aa:b3:48:ad:b8","IIITV2","9106","13:16:18"
"block-9","Friday","first","-45","58:b6:33:26:53:28","IIITV1","9106","13:16:18"
"block-9","Friday","first","-45","58:b6:33:66:53:28","IIITV-Staff","9106","13:16:18"
"block-9","Friday","first","-41","f0:3e:90:4c:29:d8","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-39","f0:3e:90:0c:29:d8","IIITV1","9107","13:16:45"
"block-9","Friday","first","-40","f0:3e:90:8c:29:d8","IIITV2","9107","13:16:45"
"block-9","Friday","first","-46","24:c9:a1:09:a1:58","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-71","24:c9:a1:49:a1:58","IIITV2","9107","13:16:45"
"block-9","Friday","first","-69","24:c9:a1:49:9f:08","IIITV2","9107","13:16:45"
"block-9","Friday","first","-78","24:c9:a1:09:9f:08","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-76","f0:3e:90:0c:24:78","IIITV1","9107","13:16:45"
"block-9","Friday","first","-74","f0:3e:90:8c:24:78","IIITV2","9107","13:16:45"
"block-9","Friday","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-55","24:c9:a1:49:9a:c8","IIITV2","9107","13:16:45"
"block-9","Friday","first","-63","24:c9:a1:47:2f:38","IIITV2","9107","13:16:45"
"block-9","Friday","first","-64","24:c9:a1:07:2f:38","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-55","6c:aa:b3:08:ad:b8","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-55","6c:aa:b3:48:ad:b8","IIITV2","9107","13:16:45"
"block-9","Friday","first","-67","58:b6:33:26:53:28","IIITV1","9107","13:16:45"
"block-9","Friday","first","-68","58:b6:33:66:53:28","IIITV-Staff","9107","13:16:45"
"block-9","Friday","first","-84","58:b6:33:26:51:48","IIITV1","9107","13:16:45"
"block-9","Friday","first","-41","f0:3e:90:4c:29:d8","IIITV-Staff","9108","13:16:45"
"block-9","Friday","first","-39","f0:3e:90:0c:29:d8","IIITV1","9108","13:16:45"
"block-9","Friday","first","-40","f0:3e:90:8c:29:d8","IIITV2","9108","13:16:45"
"block-9","Friday","first","-46","24:c9:a1:09:a1:58","IIITV-Staff","9108","13:16:45"
"block-9","Friday","first","-71","24:c9:a1:49:a1:58","IIITV2","9108","13:16:45"
"block-9","Friday","first","-74","24:c9:a1:49:9f:08","IIITV2","9108","13:16:55"
"block-9","Friday","first","-74","24:c9:a1:09:9f:08","IIITV-Staff","9108","13:16:55"
"block-9","Friday","first","-76","f0:3e:90:0c:24:78","IIITV1","9108","13:16:45"
"block-9","Friday","first","-72","f0:3e:90:8c:24:78","IIITV2","9108","13:16:55"
"block-9","Friday","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9108","13:16:45"
"block-9","Friday","first","-73","24:c9:a1:49:9a:c8","IIITV2","9108","13:16:55"
"block-9","Friday","first","-63","24:c9:a1:47:2f:38","IIITV2","9108","13:16:45"
"block-9","Friday","first","-64","24:c9:a1:07:2f:38","IIITV-Staff","9108","13:16:45"
"block-9","Friday","first","-65","6c:aa:b3:08:ad:b8","IIITV-Staff","9108","13:16:55"
"block-9","Friday","first","-63","6c:aa:b3:48:ad:b8","IIITV2","9108","13:16:55"
"block-9","Friday","first","-82","58:b6:33:26:53:28","IIITV1","9108","13:16:55"
"block-9","Friday","first","-81","58:b6:33:66:53:28","IIITV-Staff","9108","13:16:55"
"block-9","Friday","first","-76","58:b6:33:26:51:48","IIITV1","9108","13:16:55"
"block-9","Friday","first","-73","24:c9:a1:09:9a:c8","IIITV-Staff","9108","13:16:55"
"block-9","Friday","first","-76","58:b6:33:66:51:48","IIITV-Staff","9108","13:16:55"
"block-9","Friday","first","-77","24:c9:a1:09:a1:58","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-76","24:c9:a1:49:a1:58","IIITV2","9109","13:17:02"
"block-9","Friday","first","-74","24:c9:a1:49:9f:08","IIITV2","9109","13:17:02"
"block-9","Friday","first","-74","24:c9:a1:09:9f:08","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-72","f0:3e:90:8c:24:78","IIITV2","9109","13:17:02"
"block-9","Friday","first","-73","24:c9:a1:49:9a:c8","IIITV2","9109","13:17:02"
"block-9","Friday","first","-71","6c:aa:b3:08:ad:b8","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-73","6c:aa:b3:48:ad:b8","IIITV2","9109","13:17:02"
"block-9","Friday","first","-82","58:b6:33:26:53:28","IIITV1","9109","13:17:02"
"block-9","Friday","first","-81","58:b6:33:66:53:28","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-66","58:b6:33:26:51:48","IIITV1","9109","13:17:02"
"block-9","Friday","first","-73","24:c9:a1:09:9a:c8","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-65","58:b6:33:66:51:48","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-74","2c:c5:d3:23:c2:38","IIITV1","9109","13:17:02"
"block-9","Friday","first","-75","2c:c5:d3:63:c2:38","IIITV-Staff","9109","13:17:02"
"block-9","Friday","first","-70","24:c9:a1:09:a1:58","IIITV-Staff","9110","13:17:12"
"block-9","Friday","first","-70","24:c9:a1:49:a1:58","IIITV2","9110","13:17:12"
"block-9","Friday","first","-74","24:c9:a1:49:9f:08","IIITV2","9110","13:17:12"
"block-9","Friday","first","-74","24:c9:a1:09:9f:08","IIITV-Staff","9110","13:17:12"
"block-9","Friday","first","-80","f0:3e:90:8c:24:78","IIITV2","9110","13:17:12"
"block-9","Friday","first","-73","24:c9:a1:49:9a:c8","IIITV2","9110","13:17:12"
"block-9","Friday","first","-67","6c:aa:b3:08:ad:b8","IIITV-Staff","9110","13:17:12"
"block-9","Friday","first","-65","6c:aa:b3:48:ad:b8","IIITV2","9110","13:17:12"
